timestamp,speakers ,words,tags
,Cooper Simmonsen ,"Hello, my name is Cooper Simmonsen and I am here today to interview Kaye Felt, and she is my grandma, so that is our relation to eachother. The date is currently September 24th, 2024. The purpose of this interview is to explore Kaye's experiences in the long 1960's. Kaye do I have your oral consent to the recording of our conversation today?",
,Kaye Felt ,Yes ma'am. ,
0:38,CS,"Okay, Kaye we will begin. Where and when were you born?",childhood
,KF,"I was born in Boise, Idaho in 1953. ",
,CS,How many siblings do you have?,
,KF,Four.,
,CS,"Four, okay. And what did your parents do for work?",
,KF,My mother spent most of her career working in the government at HUD and my father was a manufacturer representative and he traveled alot. ,
,CS,"Okay, I will get on with some questions about your life and the long 1960's. So how we do it is 1955-1975, that whole period. ",
,KF,Oh okay. ,
1:30,CS,"Yes, so how did the Vietnam War affect your community?",vietnam
,KF,"Well, actually Idaho is a very conservative state and when my husband graduated from college, I think after he graduated they started the draft. He was very anti-war, and so was I, and he ended up getting a conscientious objector, being classified as that, and went to the peace corps for two years. But he told me, and I always found this interesting, he told me that the people at the draft office really worked with him so he could go to Africa instead of to Vietnam and I thought that was interesting. ",
,CS,That is interesting ,
,KF,"Because I would assume that the recruiters and the people that work with you in Idaho, fairly conservative, may not tend towards helping people out that much",
,CS,So to clarify he got drafted and then chose to not-,
,KF,"Right, and that's a big deal. You've never experienced the draft and it really makes you more aware of the war and the death. Right now we don't hear much about our soldiers or the fatalities and without a draft, most of them are lower-class people that don't really have alot of money to go to school. I think that is the big difference. You knew people who went to Vietnam, and you knew people who came home and had PTSD. In my community, or at least from what I read and my interpretations was that it was a useless war, we were never going to win, I was not sure why we were there, and the government was not open about how many people were dying. One of the things I really remember was that I learned that North Vietnam and South Vietnam came to a truce but Nixon decided to have them put it off so he could win the election. There was a lot about that war that did not make me happy, and I think that I mentioned to you that there were probably ten years where I could not say the pledge of allegiance because I was so ashamed of our country.  ",
5:12,CS,"Yes, you had mentioned that. Going back to the draft: were you scared? Well, did you have brothers?",vietnam
,KF,"Yeah, they weren't drafted and Gary, my husband, was my older brother's bestfriend and I knew him because he would come obver to visit Ron, my brother. He would walk through the house and go ""hi"". I was just the little sister. That's what I remember of Gary, so I didn't really know a lot about his experiences with the draft until after he got back. I did hear that he had gone to Sierra Leone. ",
,CS,"For the Peace Corps, right?",
,KF,Yes,
6:05,CS,"Growing up, were you afraid? Was there a sort of fear from the draft knowing that there was a possibility of your brothers or anyone you knew being drafted?",vietnam
6:20,KF,"Yeah, it was a consideration. I would have to say the Cold War was much scarier, personally, and for people I knew. ",coldwar
,CS,How so?,
,KF,"I am trying to think back, let's see. Kennedy was asssinated in 1963. The Cold War had been going on since the end of WWII and Russia decided that they wanted to put nuclear missles in Cuba. So there was a six day period where, I mean literally, Russian ships with nuclear missles were headed toward Cuba and the United States ships were headed toward the Russian ships. Probably for a whole year they had nuclear bomb drills, which affects you because, it's like, if there is a nuclear bomb you are supposed to get under your desk or line up against the wall with your head down in your arms. I was fairly young, but I always thought, ""How is this going to protect me from a nuclear bomb?"". I was smart enough to know that, I had seen the big white cloud. But I was still young enough that I remember I was worried about not finding my parents. I decided I would just go home and they would drive and pick me up, so my logic was not real clear. But during the Cuban Missle Crisis, there were several high level officers and politicians that went into hiding, or bunkers. It was a tense time because you did not know which one was going to pull the trigger first. But Kennedy stood up and didn't back down, and the Russians turned around. It was very tense for everyone. ",
,CS,And that was tense everywhere you went?,
8:46,KF,"Oh yes. and I remember, for an example, the first time I realized I was just a common person was, I had a friend, a rich friend and I went to play with her and she showed me her bomb shelter. I thought, ""Wow it would be nice to be rich"". It was underground and they had all their food stacked up and I thought, ""Wow they are lucky"". Because it was just like ""Too bad you don't have enough money for that but, whatever"". ",coldwar
,CS,That was in Boise? Someone had a bomb shelter?,
,KF,"Yes, quite a few people did. Of course, you never thought true at that age ""What are they staying alive for if they survive?"". ",
,CS,Yeah,
,KF,They were really rich in my mind. ,
,CS,"Well, I mean, if they had the means to just build a bomb shelter. ",
,KF,"Oh, yeah. Out of concrete, it was nice. They had a few pictures in there, probably nicer than my house.",
10:13,CS,"Do you remember the threats of nuclear warfare in forms of media? Like TV or comic books if you were a kid, or any other book?",coldwar;media
