timestamp,speaker,words,tags
[00:00:00],John*,Tell me when you're ready. I'm ready. Okay. My name is John* Jacob Zohr. I was born in New York but moved to California when I was 5 years old.,personal
,John*,"So I'm a California boy, and, I'm 78 years old. And live in presently Artesia, but grew up in Bellflower for 20 years. California. And that's in the Southland (Southern California). Okay.",personal
,Zach*,"Alright. My name is Zach*. I'm the interviewer. This is my grandpa. So I guess just to start with, you did say your age, but, what year were you born?",
,John*,"1926, May. 19 sorry. One more time. 1946. 46.",personal
,Zach*,"Okay. May. Yes. Okay. So in the sixties, you started about 14 years old and until about 25, give or take?",
,John*,Yep. That's about right. You know? Okay.,
,Zach*,"So I figured we'd start, with culture, just kind of the general, you know, happenings at the time. So, what kind of, television shows or what kind of books and things were popular at the time? What kind of media did you guys like?",
,John*,"I didn't really read much, you know, as far as books, just whatever they required you at school. I went to a Catholic school, started in 7th grade and graduated, you know, in 12th. And, movies, I used to enjoy comedy.",culture
,John*,"And like I say, such as the Beverly Hillbillies, also, I'm trying to think now, the Addams family Oh, yeah. And the Munsters. And, also, let me think again. I'm trying to think, and she was, I can't think of it right now. But, oh, I did watch, you know, I guess the pressure is putting on me with with Ephraim Simballis junior was in it. I can't think of the name of it. But, yeah, mainly that. And then, you know, once I was 61 or 62, I didn't watch TV that much. You know? We'd go to the show, go to the movies, you know, and stuff like that in the car.",culture
,John*,Drive ins were big in my era.,
,Zach*,"Oh, yeah.",
,Zach*,Did you go to the movies and things with your friends a lot?,
,John*,"Well, mainly with girls. And, we had a one drive in that that pictures might be a week or two older, and it was only a dollar to get into the drive in. You didn't have to pay for each individual, you know, which made it nice. And, so and and my, I bought a my first car was a 57 Ford. I bought them in 61, and I bought a, 62 Ford in 1963 with bucket seats. I went to the drive in with a girl. It was most comfortable that the having bucket seats, the passenger seat would fold down forward so you could sit in the back seat, a little more comfortable, we'll say, and, have a foot rest too That's pretty nice.",culture;dating
,Zach*,Yeah. Do you remember what you paid for the car at the time?,
,John*,"Why, sure. I paid, for my first car, the 57 Ford, I think I paid $450, and that was 61. And for the it was a 4 zero six Ford, which, was a race car, same like a Chevy 409, except it's a Ford that had a 4 speed, 406 cubic inch, 405 horsepower. And I did a trophy at Irwindale Raceway in it.",culture
,John*,"I think I turned the high fourteens, a speed about 92 or 93.",
,Zach*,"Wow. So I know I know you, enjoy, cars a lot. I know you used to collect them a lot more, especially when you were younger as well.",
,John*,Yeah.,
,Zach*,When did you start getting into cars?,
,John*,"Oh, I'd always been into cars. That's why I bought the Ford.",personal
[00:05:00],John*,"And, when I got out of the service, you see, my brother had a 61 Corvette that I used all the time. He was married, and I'd just go out to his place and, borrow his vet for, you know, Friday night or Saturday night or whatever. It was nice driving around. And when I got out of the service, I decided I was either going to get a Ford, Torino or an old 442. And I said something to my brother. He says, why don't you get a Corvette? You use mine all the time. So I did, and I bought a 66 Corvette. It was 2 years old. I paid $31100 for it, which I think knew they were about 45100, you know, and I still have that car also. And my brother who just passed away last year, December 17th, He still has his 61 Corvette, so we both still have our Vets.",personal
,Zach*,"That Vette is pretty cool. I've seen it. So I will say that's pretty crazy, the first car for $450. Do you remember generally what the economy is like? I'm not super familiar with it.",
,John*,"Oh, the economy was good and oh, yes. In 61. Yeah. I can't remember any recessions in 61', although we had one, like, in 58' that I recall. My brother worked at, North American. I don't know if Rockwell had bought him yet, but he got laid off, you know, for a small a short period of time. Yeah. And so I'd say the economy was good. And in the Southland where we lived, I mean, it was un unbelievable. We had Douglas Aircraft, and we had North American. Well, Douglas, Douglas had it and then, Douglas, was bought out by, you know, they merged with another company just like",economy
,Zach*,Boeing. Right?,
,John*,"No. No. Boeing is a different era. That that is completely different company. You know, McDonnell Douglas is what we were called once McDonnell bought in about 1965.",
,Zach*,"Oh, I see.",
,John*,"North American Rockwell. And the thing about it is where I lived on Lakewood Boulevard in Bellflower, one was only 4 miles away and the other was 5 miles away. It's straight up Lakewood Boulevard. And the one thing about Douglas, they opened up in 1941, the big plant in Long Beach. And during World War 2, they had a 160,000 people employed at that plant.",economy
,Zach*,At just that plant?,
,John*,Just at that plant. Yes.,
,Zach*,Wow.,
,John*,"I mean, I don't know I don't remember if at that time they were on a 170 acres or whatever, But, you know, it was big, and and that's where the Long Beach Airport was right alongside of it. I don't know if they built that right after or about the same time, but I thought that was a statistic I just read last year in a a paper. We go to this restaurant, then they have a local Long Beach paper, and in it, was, the information that I just gave you, which I was phenomenal. I knew, my wife, Janice, worked there in from 67 to the 1st week of 76. So I can remember when she got laid off. And I think then they employed about 40 or 50,000 people at that one plant. They had other plants, you know, in the south. Wow. The the southland (Southern California) was phenomenal. We had steel making plants. We had aluminum plants. We had tire companies. We had everything. Firestone was here. Goodyear was here. And since then, they've all moved out. Even the auto industry has moved out. Not just the Southland, but all of California. Tesla grew. Yeah. Texas and things of the like.",personal;economy
,Zach*,"Wow. So that's pretty cool. I believe you worked for (McDonnell) Douglas for a long period of time. Would you describe kind of, I guess, I let's start with, let's say your community. I know you said you went to a Catholic school.",religion
,John*,Yes.,
,Zach*,"Were a lot of your friends coming from there? What about people in your neighborhood? Would you kind of describe the financial situation of you guys, your family, and maybe the people around you?",
[00:10:00],John*,"Well, I'd say my family was more the upper middle class as far as financial. And, I live I'd say the area I lived in wasn't quite the upper middle class. My mother owned, property there. She had a bar, and, she, you know, built a television shop for my father, my stepfather, and then she bought some other property there. We had a barber shop and a rental, so we had a little property there. So like I say, I'd say she's more upper middle class. And, yeah.",personal
,Zach*,Very cool.,
,John*,"No. I did work at McDonnell Douglas that I was hired in 1969. And I served 31 years at Douglas, and I was fortunate that I never got laid off. But I didn't work in the Long Beach plant. I worked in the Torrance plant, and it only employed about 6,000 people.",
,Zach*,Wow. That's still a lot of people.,
,John*,"Yeah. And I was a blue collar worker. I wouldn't, they asked me to go to salary a couple times, and I told them I'm sorry, but I'm overqualified.",
,Zach*,"Do you remember what you, your wage was at least to start and maybe?",
,John*,"Oh, sure. I remember. I can tell you exactly what my wage was. I worked second shift, so I got 2.86 an hour, and I got 18¢ more for second shift, which put me at the 304 an hour. And then you went up from there. I think a a top a in my classification was making, let's say, on a day shift, not second, probably 3:40 an hour or in that range, 3:50 an hour. And this is 1969.",economy
,Zach*,Is that considered pretty well for the time? Do you know?,
,John*,"Yes. Yes. I'd say that was a decent wage. It's, enough. I don't know. One person working could buy a house. It depends. New houses in 70, 71 in Cerritos were running, we'll say, 25,000 where you could buy an older Lakewood home, and the Lakewood homes were 3 bedroom, 1 bath, maybe 11 or 1200 square feet. And I think maybe you could get that for 15,000 or 16,000. It was that much difference. The Cerritos homes were usually all nicer, newer, and, 4 bedroom, 2 bath. Almost all of all of them had two baths where the Lakewood homes and and what's even funny is, some of the homes in Lakewood, they started maybe Lakewood became a city in 1947. And Long Beach thought that they were going to be able to absorb them because they didn't think they could afford to have a fire department or police. But what they did was, and I can't think of his name, but he was the mayor when the city started. Instead of having their own, they contract labor for fire and police. So they were able to start, and it was the first city formed since, I think, 1939. Interesting. In the nation, not just in California, but in the nation. They, they were the first city formed after World War 2.",economy
,Zach*,"Very cool. Well, I think I'm going to use this to start segueing into some questions about civil rights in general. So I'll start with a more open ended question, and we can kind of work toward, whatever comes forward. I guess, generally, how did it feel to watch the civil rights movements, unfold throughout the sixties if you didn't see it as much personally? Did you ever hear anything about it or stories, or did you have any interactions with it?",
,John*,"I didn't have in any interaction, with it at all. The blacks, none were around in our area at all. You know? And we'd hear about it. And the civil rights, I think, was mainly in the south. We'll say, you know? But we did have the Watts riots in 1965. It was in August. Yeah. And, the reason why is back then they didn't record. You know, the police didn't have cameras and people weren't recording, but I guess, and the police force I'd say was predominantly Caucasian. Yeah. I don't know if they had any. So they could say they discriminated.",civilrights
,Zach*,Yeah.,civilrights
,John*,"I don't know. The circumstance was they pulled somebody over, and I think for drunk driving, And I don't know what they did to them, but, other people must have saw it and been there, and so they started the Watts riots. And, it ruined about 70 homes. And, this was in LA more or less off the Harbor Freeway, which is at 110 now. And, the fire burned for 7 days, a whole weekday. You know? And there was at least 30 people killed you know, during this riot. And, also, I went down and cruised the riots accidentally. I was in the backseat of a car. Yes. It was about midnight. I don't know. I think it was the first 2 or 3 days of it or something. We used to shoot pool or wherever the heck we were, and that was 2 other guys. I don't even quite remember who it was because you're talking back, you know, 60 years. We decided what we're gonna do is just go drive down the freeway and see, what it looks like, the fires. And sure enough, he got off just to see, and it was burning. And I can remember going down one of the streets and even seeing a guy coming out of a TV show or an appliance store carrying a television.",civilrights
[00:15:00],John*,"And then you see a 100 people standing on the other corner just watching the buildings burn. It was just sun Unbelievable. And, you know, it was summertime, so we had the windows down. And, a black guy pulled up next to us with his girlfriend or wife. I don't know. But he says, I'm getting out of here. They're even throwing stuff at me and whatever. They were even throwing stuff at his car. So we just got back on the freeway and left. But like I said, you know, I cruised the Watts Riots, which was really, you know, something else. It wasn't voluntary. And thank goodness I was in the back seat. I figured I could knock down and, you know, more so and even get on the floor if necessary if they started. We don't know if I don't know if they shot at people. But I'm saying may have thrown Molotov cocktails or started the fires. And you never know. They might try to pull you out of the car and beat you up. So we didn't know. And, so they were just taking a chance, but we got back on the freeway and got the heck out of there.",civilrights
,Zach*,Wow.,
,John*,"Yep. So like I said and I know that, you know, back then, and the news wasn't on TV like it is today. You might have had a half an hour of news and maybe it was 6 to 6:30 or something like that. You didn't have it where it's on for hours and all these, you know, different stations. And so, you did have we did have a radio station on our AM radio, and it was 24 hour news. The reason why I know, not that I listened to it, I listened to music, but my stepfather, would play it all the time. So whenever we're in the car with him or whatever, he had this news, you know, the news going on. But I remember, you know, Martin Luther King's speech in DC. You know, you just caught some of it on the news where, I guess, a quarter 1000000 people or something like that showed up. And to me and I don't know if we're gonna get into it or another question. Out of all the decades in the 20th century, I consider the sixties the greatest. I believe it.",culture;civilrights;media
,Zach*,I've heard that be a general consensus from people that lived through the 60s.,
,John*,"A lot of people really enjoyed the sixties. There's a lot going on. I don't know if I should mention this now or later. You figure number 1, we landed on the moon in the sixties. Yep. 69 or 61? I think 69. No. 69. Yeah.",
,John*,"68 or 69, we landed on the moon. And, and, in 1960, Kennedy was running for president, and he's the 1st Catholic ever, president of the United States. Although in 1928, we had, I think a guy named Al Smith or something run for an Erwin against Hoover and, but he lost.",culture;religion
,Zach*,So Was your family excited that Kennedy was elected president considering you guys were Catholics?,
,John*,"All the Catholics were excited, you know, that something like that happened, especially since I go to a Catholic school.",
,Zach*,Yeah.,
,John*,"You know? So, I mean, it was fantastic. And when Kennedy was assassinated, I remember exactly, I was going downstairs. My school was 3 story Catholic school, and the, we had boarders there even. You know, you could stay Monday through Friday or however long. And I was going downstairs. I I forget why I was going by myself, and brother Knowles said the president has just been shot. He didn't he didn't say he was dead, but he said the president had just been shot.",culture
,Zach*,"Wow. Do you remember any of the, I guess, the dialogue or anything that happened kind of immediately after that?",culture
,John*,"It was on TV day night day night. That's all they had on was that and showing him in his limousine. And I guess since it was nice weather, they took the top off. And so he was riding, and I think it was in Houston. And he was riding, and that's how they got him. So, you know.",culture
,Zach*,Wow. Did they show the the full footage live on TV of him being killed?,culture
,John*,"Yes. They did as I recall. You know, as much you I don't know if you could actually see him kind of get hit, but, I mean, you know, maybe he went back and stuff like that.",culture
[00:20:00],Zach*,"But, yeah. Yeah. I know the sixties were, it was kind of a very sudden change. I think it was more in the fifties, but when the average household went from having a TV, I think it was it was very few and far between. And then all of a sudden, like, 75% of households had a TV. So everyone was consuming the this news every day that, know, they weren't used to getting before besides, you know, radio or newspaper.",media
,John*,"When you figure and back then, everybody had black and white sets. You didn't have colored sets. There might be a few percentage of color, but not many of the programs were even in color. Even some of these ones that I still watch, you know, on TV, we have color TV, but they were made in black and white. And then later on in that in the sixties, they started making them in color.",media
,Zach*,"Okay. Well, I guess stepping back into civil rights for a little bit, I remember you were talking about the Watts riots. Do you remember seeing or hearing about a lot of these demonstrations that were happening around the time, whether it be the boycotts or anything like that?",civilrights;
,John*,"No. No. But, like I say, the reason for it was, how could you say? In well, up till 68, I think, until Johnson signed it, you didn't have to rent to blacks. You didn't have to, you know, you could discriminate. I think even in the sixties, we didn't have that problem where we live. But, I mean, even going into a restaurant or anything, You, you know, they weren't even allowed to use some bathrooms and stuff. Now that was more in the fifties. We didn't see anything like that where we lived because we didn't have any blacks around. We had a high percentage of Hispanics and some Portuguese because at that time, Bellflower, Paramount, Artesia was farm country, dairy country. And they we even had Dairy Valley here, which in which is Cerritos now. I don't know what they've had, but all the dairies moved to Chino, which is, not far, 30 miles away, we'll say. And, I watched Hugh Howser. I did. He passed away in 12, but they have repeats of him. And he did a special on Chino, and Chino was the largest dairy or the largest, dairy farms in the world. They have 300,000 cows.",civilrights;
,Zach*,"Oh my gosh, that is a lot.",civilrights;
,John*,"And since then, you know, Chino has started going down, you know, because residential, the houses are moving in. Like I said, that was it on that. You'd see some on TV, you know, and they they'd show it, but you gotta remember at that time, 65, 66, was what? 7 18, 19 years old.",civilrights;
,Zach*,Yeah.,civilrights;
,John*,"You're not that interested in that. And a lot of that more was happening other than our riots, in the south. So you just the news.",civilrights;
,Zach*,"That is something more that I hadn't really considered a lot is, you know, at a younger age, you're more con you're kind of concerned with, you know, what you're gonna do to for your job if you're gonna go to school for things like that.",civilrights;
,Zach*,"Uh-huh. And, you know, you probably heard of some things, like, in passing, but you're not watching the news every single day.",media
,John*,No. Not at all.,civilrights;culture
,Zach*,"Was that ever a topic of conversations with, like, your family, or did you ever you know, what was the dialogue surrounding that, or was it more like,",civilrights;culture
,John*,"You mean you mean for, how so?",civilrights;culture
,Zach*,"I mean I guess around, like, maybe desegregation or about civil rights. Was there you know, was anyone in your community for it or opposed to it?",civilrights;culture
,John*,"No. No. I don't think it was hardly even a topic of conversation Yeah. Other than what you'd hear on the news. Like I said, we didn't have any that live close. And so, you know, it isn't, you know, quite the same. Yeah. But I know, like, when the police pulled him over, that, you know, they were, like I said, predominantly Caucasian, and they discriminated. And, even in housing, you know, that, they couldn't move where they wanted and even if they had the money. Like, in most cases, I mean, you may even hear that about actors. I forget which one they brought up. Nat King Cole or something who bought a house in a predominantly Caucasian neighborhood, I think, which was, you know you hear that on the radio or stuff like that. You know?",civilrights;culture
,Zach*,"Yeah. No. That makes sense. Especially in an area with not many black people that, you know, it wouldn't really be that much of a topic of concern. That makes sense.",
[00:25:00],Zach*,"I wanted to segue a little bit into, I know you were, deployed in Vietnam. Will you go into I wanna start with, I guess, the draft. We'll start with, how did you feel about the about the draft? How did, the people around you feel about the draft?",
,John*,"Well, I had 3 good friends, and, I worked at a place a restaurant called the Valley Button. You know, we sold hamburgers and stuff like that. It wasn't an indoor restaurant. It was just an outside, like, a tasty freeze or something like that that Or In N Out Burger or whatever you wanna call it.",personal
,Zach*,Yeah.,
,John*,"And, the one I think was in the marines and the other one was in the army, and he told me no matter how shitty it is, 2 years is only 2 years. So he's just and the 2 of my friends went into marines, and that's 3 years. The other one in the air force, and that's 4 years. So I did what he said, and I just let him draft me.",draft
,Zach*,"Interesting. So it sounds like I guess, correct me if I'm wrong, but more or less, they believed it to be just kind of something that was going to happen, kind of get used to it.",draft
,John*,"That's right. You know, it's just something you had to accept. I didn't know anybody that went to Canada, but later on, of course, I was drafted in 66. But, you would hear people that went to Canada, and they didn't do anything or try to get them. And I don't remember what president or whatever would finally will say, what could you say, allow them to come back without any prison time or anything? And I don't remember what prison or when that it might have happened in the nineties. I don't know. Maybe even in the eighties. I'm not sure.",draft
,Zach*,"Interesting. So at least your in your community, there was not so much. But do you remember hearing any, like, anti draft sentiment or any, like, anti war sentiment in in the area?",draft
,John*,"No. Not really. You know? I mean, you just had to accept it and that was it.",draft
,Zach*,Yeah.,draft
,John*,"You know? And you just got drafted. I was lucky in the school I went to. I think graduating class was only 50, and none of us and I think almost everybody went in to the service of one branch or the other. And none of us died in Vietnam. Very fortunate. One was pretty well injured. I don't know even maybe a little mentally, but, you know, all of us made it back. Unbelievable.",personal;vietnam
,Zach*,That's really cool.,
,John*,"My 60th reunion is tomorrow night, and then the following night is so, you know, my 60th reunion. Yeah. I don't know how many are going to show up. I didn't check with who's in charge. But, because he said a lot of them live in Nevada and, you know, live across the nation. So and for your 60th, who knows how many are going to show up?",personal
,Zach*,"Yeah. Well, that'll be fun. I hope you enjoy that. I was going to say, I guess, feelings about the war in general. Did they opposed to it more or less or just it sounded like more or less kind of neutral. Were they angry, or was anyone angry about, like, the reasons they were fighting? Did they kind of fully understand? Or?",
,John*,"I think that it was just accepted, and that was it. At least where I am, I know there are there were some protests. Matter of fact, I can remember, it was up in (San Francisco) Frisco, and I don't know which college it was at, but they were protesting. And the Hells Angels, I think down here, volunteered to go up and break it up. No. And they said no. They would let him go up there. They were gonna take care of a protest up there on the war. You know? So and I knew some of the Hells Angels from where I worked. A few of them came in, I would see. Yep. Okay. I'll tell you a good story about one of them. I got to know a lot of the police well too, especially in Bellflower. And, one of them told me they caught a Hells Angel riding around the block, and he just put the engine and the frame together, and he caught them. No license, no nothing. He says, I wrote up stuff on that ticket that didn't even exist. You know, that's what he told me because I was I was in good with quite a few of the police.",culture;civilrights
,Zach*,Interesting. That's a good story.,
,John*,Mhmm.,communism
,Zach*,"Okay. I will say, what was kind of the feelings about communism? Was that ever a topic of discussion? I know there was a lot of kind of, like, like, the lavender scare or the red scare, more feelings about communism. Was that ever a topic of discussion?",communism
[00:30:00],John*,"Not much. In the fifties, it wasn't so much communism, but scared of nuclear attacks and they taught you how you're supposed to go down and cover your head and get under your desk. Like that. No. I don't think communism was discussed too much. Although we did have, I think, in the in the late sixties, the Cuban crisis Yes. You know, which, you know, where we even blocked off, you know, with our, naval ships blocked off. So I guess nothing could get through to Cuba. I don't know if you know about that or not. And so, that was, you know, scary somewhat. But like I said, you know, we just heard about it and then, you know, went from there. And, as far as communism, no. I do remember something about oh, that was Reagan, and that would be in the eighties where he says tear down that wall. Like that.",communism
,Zach*,"So I do remember hearing a lot about, like, the nuclear drills. They would have kids in school, you know, tell them, get under your desk. You know? But was that, like, a common fear? I guess, you know, the average person, if it happens, there's not much you can do about it anyway. Was that ever like a was that a worry about nuclear war happening a lot?",communism;culture
,John*,"Believe it or not, just a couple blocks from me at that time, and I think they're doing it again, they were building I don't know what they cost. But in your backyard, they would build you a shelter or whatever you want",communism
,Zach*,"Oh, really?",communism
,John*,"Underground where you could get I don't know all the statistics on it back then, how much they cost or what all it consisted of. But I guess they felt since we lived in Southern California and all these aircraft corporations around Yeah. We would definitely be bombed. So probably nuclear. So, I know one place, you know, put it in. I you know, I'm a kid. Yeah. 14, 15 years old. And so, otherwise, I'd love to go over and take a look in it.",communism
,Zach*,"So Yeah. So some people were very scared of it. It sounds like a lot of people just more or less live with it, you know, thought there's nothing they could do about it anyway.",
,John*,Exactly.,
,Zach*,"Okay. Well, getting into the draft, so I believe you've told me a story about how if you correct me if I'm wrong. If you volunteer, you get to kind of choose how, like, with the service you perform. Is that incorrect?",draft
,John*,"I think somewhat you could. Otherwise, if you volunteer for the draft, but you're not talk not draft, not for 2 years. I think you'd have to volunteer for 3.",
,Zach*,"Oh, interesting.",
,John*,"Depending on where you're going to, in order to get that. Not, you know, being drafted, they just do with what they want with you, but I was an exception. And that was and then I gotta tell you this. When I was drafted, they swore us in. There's, I don't know, 20 rows and 6 abreast. And they said the first two rows are going into the marines. Yeah. And I was in the 3rd row. So I got to go to the army instead of the marines.",draft
