Timestamp,Speaker,Words,Tags
0:03,Silas Beebe,"Okay, it should be going. Let me get a secondary recording going just in case.",
0:13,Ron Beebe,"Now it says this meeting is being recorded and I have to click okay, I guess.",
0:25,Silas Beebe,Alright.,
0:28,Ron Beebe,"Wait a minute, I lost your voice.",
0:42,Ron Beebe,You there?,
,Silas Beebe,"Yes, there is my microphone working all right?",
,Ron Beebe,"Okay, so I don't we don't have to keep our heads close together, you know what we look like, you just want to get the message of what we're saying.",
,Silas Beebe,"Yeah, yeah, exactly, just the words are the most important part. So to start, we have just a little bit of an oral consent form I'm just going to run through really quick and just have you guys agree to it if that's all right. So let me just read it aloud and and let me know if that's all right.",
1:10,Silas Beebe,Participation in this project is voluntary. You may withdraw from the project at the end of the interview or at any time. Duration of the interview will only last up to 60 minutes. It doesn't have to be that long. But the interview will be recorded and transcribed. A copy of each will be made available to both of you. The recording of the interview may contain material which you hold copyright. You may transfer copyright of this material to University of Idaho if you so choose.,
1:36,Silas Beebe,"Transcriptions will be made available to the entire class for research purposes, and they will then be preserved by our special collections and archives. And the University of Idaho students, faculty and staff, as well as researchers visiting the special collections and archives may use the interview for research, educational, promotional, or other purpose deemed appropriate. Does that all sound good to you guys?",
,Ron Beebe,"Yes. Of course. Wonderful,",
,Silas Beebe,"thank you so much, appreciate that. Well, let's hop right into it. What year were each of you guys born?",
2:07,Ron Beebe,"Okay, I was born March 9th, 1942.",childhood
,Jane Beebe,G: Okay. And I was born in 1944.,childhood
,Silas Beebe,"S:Okay, wonderful. So you both be what?",
,Ron Beebe,"Grammy is 80 and I'm 82. Okay, okay.",
,Silas Beebe,"So Pop, you were like 18 going into 1960 and Grammy, you were 16?",
,Jane Beebe,Yes.,childhood
,Silas Beebe,"Okay, very cool. So not far off on my age. So what was that like starting off your lives right into the 1960s?",
2:38,Ron Beebe," That was a fun year, I thought, because I graduated from high school in 1960. And, um, I was going to go off to college and I did for six months and it wasn't for me.",childhood
,Silas Beebe,Okay.,
,Ron Beebe,And then I went right to work.,jobs
,Silas Beebe,"Wow. Uh, where did you go? ",
,Ron Beebe,"Insurance company, insurance company of North America, which was in Philadelphia.",jobs
3:00,Silas Beebe," Okay, okay. I think when my dad and I watched the film Philadelphia, he showed me one of the buildings. He said Pop worked at an insurance company there that I thought was pretty cool.",
,Ron Beebe,Yeah.,
,Silas Beebe,And how long were you with the insurance company?,
,Ron Beebe,32 years full-time.,jobs
,Silas Beebe,Wow. Oh my goodness. That's a solid career.,
,Ron Beebe,"Yeah. I retired when I was 57 and they asked me to work part-time two days a week, a total of 14 hours a week.",jobs
3:29,Silas Beebe, That's pretty good.,
,Ron Beebe,And I did that for 10 years.,jobs
,Silas Beebe,Wow.,
,Silas Beebe,"And so Grammy, you would graduate high school in 1962 then?",school
,Jane Beebe,That's correct.,
,Silas Beebe,So what kind of foods did you guys eat regularly growing up?,childhood
3:45,Jane Beebe," We had, our, my dad was a blue collar worker. He was a sheet metal worker. So we grew up with meat and potatoes.",childhood
